query,page,date,clicks,impressions,ctr,position
lmarena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-03-08,4,403,0.99,6.3
lmarena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-03-11,4,758,0.53,6.5
lmarena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-03-12,4,651,0.61,6.5
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-03-10,4,12,33.33,1.6
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-11,3,5,60.0,1
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-14,3,12,25.0,45.3
laplace criterion,https://systems-analysis.ru/eng/Laplace_criterion,2026-03-13,3,8,37.5,5.1
lm arena,https://systems-analysis.ru/wiki/LMArena,2026-03-14,3,171,1.75,6.5
что такое токен в контексте языковых моделей,https://systems-analysis.ru/wiki/%D0%A2%D0%BE%D0%BA%D0%B5%D0%BD,2026-03-13,3,16,18.75,1
bertscore,https://systems-analysis.ru/int/BERTScore_(metric)_%E2%80%94_BERT%E3%82%B9%E3%82%B3%E3%82%A2,2026-03-11,2,7,28.57,2.4
bleu метрика,https://systems-analysis.ru/wiki/BLEU,2026-03-09,2,10,20.0,1.1
clasificacion de sistemas,https://systems-analysis.ru/int/Clasificaci%C3%B3n_de_sistemas,2026-03-07,2,6,33.33,5.5
elementos de un sistema,https://systems-analysis.ru/int/Elemento_del_sistema,2026-03-07,2,16,12.5,5.6
eosトークン検出,https://systems-analysis.ru/int/Stop_sequences_(language_models)_%E2%80%94_%E3%82%B9%E3%83%88%E3%83%83%E3%83%97%E3%82%B7%E3%83%BC%E3%82%B1%E3%83%B3%E3%82%B9,2026-03-07,2,5,40.0,1.8
hellaswag,https://systems-analysis.ru/wiki/HellaSwag_benchmark,2026-03-09,2,3,66.67,1
historia de la investigación de operaciones,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-03-07,2,7,28.57,4.7
historia de la investigación de operaciones,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-03-09,2,8,25.0,1.8
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-12,2,10,20.0,30.3
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-13,2,10,20.0,38
humaneval benchmark,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-09,2,6,33.33,16.2
humaneval benchmark,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-13,2,8,25.0,39.6
jailbreak llm,https://systems-analysis.ru/wiki/Jailbreaks,2026-03-09,2,3,66.67,1.3
llm arena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-03-09,2,104,1.92,5.9
llm as judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-03-12,2,3,66.67,1
llm jailbreak,https://systems-analysis.ru/wiki/Jailbreaks,2026-03-08,2,2,100,1.5
lmarena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-03-13,2,455,0.44,6.9
mmlu,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-03-10,2,10,20.0,1
modelo de sistema,https://systems-analysis.ru/int/Modelo_de_sistema_(ES),2026-03-09,2,2,100,1
modelo de sistemas,https://systems-analysis.ru/int/Modelo_de_sistema_(ES),2026-03-10,2,9,22.22,1.2
mt-bench,https://systems-analysis.ru/int/MT-Bench_(benchmark)_%E2%80%94_MT-Bench%E3%83%99%E3%83%B3%E3%83%81%E3%83%9E%E3%83%BC%E3%82%AF,2026-03-09,2,7,28.57,5
mt-bench,https://systems-analysis.ru/int/index.php?title=MT-Bench_(benchmark)_%E2%80%94_MT-Bench_%E5%9F%BA%E5%87%86%E6%B5%8B%E8%AF%95&variant=zh-hant,2026-03-10,2,3,66.67,1.7
multi-agent debate,https://systems-analysis.ru/int/Multi-Agent_Debate_%E2%80%94_%E3%83%9E%E3%83%AB%E3%83%81%E3%82%A8%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88%E3%83%87%E3%82%A3%E3%83%99%E3%83%BC%E3%83%88,2026-03-12,2,2,100,1
perplexity метрика,https://systems-analysis.ru/wiki/%D0%9F%D0%B5%D1%80%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D0%B8%D1%8F,2026-03-09,2,2,100,2
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-03-08,2,13,15.38,4.8
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-03-09,2,16,12.5,2.9
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-03-11,2,21,9.52,2.8
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-03-12,2,25,8.0,3.8
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-03-14,2,14,14.29,8.8
rouge метрика,https://systems-analysis.ru/wiki/ROUGE,2026-03-13,2,3,66.67,1
критерий вальда,https://systems-analysis.ru/wiki/%D0%9A%D1%80%D0%B8%D1%82%D0%B5%D1%80%D0%B8%D0%B9_%D0%92%D0%B0%D0%BB%D1%8C%D0%B4%D0%B0,2026-03-10,2,8,25.0,1.9
математическое моделирование,https://systems-analysis.ru/wiki/%D0%9C%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5,2026-03-14,2,15,13.33,1.5
метрика bleu,https://systems-analysis.ru/wiki/BLEU,2026-03-11,2,3,66.67,1.3
свойства системы,https://systems-analysis.ru/wiki/%D0%A1%D0%B2%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%B0_%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC,2026-03-10,2,12,16.67,1.2
системный анализ,https://systems-analysis.ru/systems_analysis.html,2026-03-11,2,38,5.26,1.9
системный анализ это,https://systems-analysis.ru/systems_analysis.html,2026-03-10,2,24,8.33,3.0
что такое температура в llm,https://systems-analysis.ru/wiki/%D0%A2%D0%B5%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0_(LLM),2026-03-07,2,2,100,1.5
что такое токен в контексте языковых моделей,https://systems-analysis.ru/wiki/%D0%A2%D0%BE%D0%BA%D0%B5%D0%BD,2026-03-14,2,13,15.38,1.3
эмерджентность это,https://systems-analysis.ru/wiki/%D0%AD%D0%BC%D0%B5%D1%80%D0%B4%D0%B6%D0%B5%D0%BD%D1%82%D0%BD%D0%BE%D1%81%D1%82%D1%8C,2026-03-12,2,77,2.6,1.5
эмерджентность это,https://systems-analysis.ru/wiki/%D0%AD%D0%BC%D0%B5%D1%80%D0%B4%D0%B6%D0%B5%D0%BD%D1%82%D0%BD%D0%BE%D1%81%D1%82%D1%8C,2026-03-13,2,57,3.51,1.4
aflite,https://systems-analysis.ru/int/index.php?title=WinoGrande_Benchmark_%E2%80%94_WinoGrande%E5%9F%BA%E5%87%86%E6%B5%8B%E8%AF%95&variant=zh-hk,2026-03-13,1,1,100,2
amazon nova,https://systems-analysis.ru/wiki/Nova_(Amazon),2026-03-13,1,2,50.0,6
arenaml,https://systems-analysis.ru/wiki/LMArena,2026-03-13,1,3,33.33,4
bert score,https://systems-analysis.ru/int/BERTScore_(metric)_%E2%80%94_BERT%E3%82%B9%E3%82%B3%E3%82%A2,2026-03-11,1,2,50.0,2
bert score,https://systems-analysis.ru/wiki/BERTScore,2026-03-07,1,2,50.0,3.5
bert transformer model,https://systems-analysis.ru/wiki/BERT,2026-03-12,1,1,100,8
bertscore,https://systems-analysis.ru/int/BERTScore_(metric)_%E2%80%94_BERT%E3%82%B9%E3%82%B3%E3%82%A2,2026-03-07,1,1,100,2
bertscore,https://systems-analysis.ru/int/BERTScore_(metric)_%E2%80%94_BERT%E3%82%B9%E3%82%B3%E3%82%A2,2026-03-08,1,4,25.0,3.8
bertscore,https://systems-analysis.ru/int/BERTScore_(metric)_%E2%80%94_BERT%E3%82%B9%E3%82%B3%E3%82%A2,2026-03-09,1,5,20.0,2.4
bertscore,https://systems-analysis.ru/int/BERTScore_(metric)_%E2%80%94_BERT%E3%82%B9%E3%82%B3%E3%82%A2,2026-03-13,1,2,50.0,2
bertscore,https://systems-analysis.ru/wiki/BERTScore,2026-03-07,1,3,33.33,4.3
bertscore,https://systems-analysis.ru/wiki/BERTScore,2026-03-11,1,6,16.67,5.2
bertscore,https://systems-analysis.ru/wiki/BERTScore,2026-03-12,1,3,33.33,5.3
big-bench,https://systems-analysis.ru/wiki/BIG-bench,2026-03-13,1,1,100,3
bleu,https://systems-analysis.ru/wiki/BLEU,2026-03-11,1,12,8.33,4.2
bleu,https://systems-analysis.ru/wiki/BLEU,2026-03-13,1,7,14.29,4.4
bleu (bilingual evaluation understudy),https://systems-analysis.ru/wiki/BLEU,2026-03-09,1,1,100,2
características del sistema abierto,https://systems-analysis.ru/int/Sistema_abierto_(teor%C3%ADa_de_sistemas),2026-03-14,1,2,50.0,6.5
ciclo de vida de un sistema,https://systems-analysis.ru/int/Ciclo_de_vida_de_un_sistema,2026-03-09,1,25,4.0,5.2
circo de blackett,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-03-08,1,2,50.0,1.5
clasificacion de los sistemas,https://systems-analysis.ru/int/Clasificaci%C3%B3n_de_sistemas,2026-03-10,1,5,20.0,9.4
clasificacion de los sistemas,https://systems-analysis.ru/int/Clasificaci%C3%B3n_de_sistemas,2026-03-12,1,11,9.09,9
clasificaciones de sistemas,https://systems-analysis.ru/int/Clasificaci%C3%B3n_de_sistemas,2026-03-12,1,3,33.33,2.7
clasificación de sistemas,https://systems-analysis.ru/int/Clasificaci%C3%B3n_de_sistemas,2026-03-09,1,9,11.11,5.9
cove chain of verification,https://systems-analysis.ru/int/Chain-of-Verification_%E2%80%94_%E3%83%81%E3%82%A7%E3%83%BC%E3%83%B3%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%83%99%E3%83%AA%E3%83%95%E3%82%A3%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3,2026-03-08,1,1,100,1
criterio de laplace,https://systems-analysis.ru/int/Criterio_de_Laplace_(ES),2026-03-12,1,5,20.0,2.4
criterio de laplace toma de decisiones,https://systems-analysis.ru/int/Criterio_de_Laplace_(ES),2026-03-11,1,3,33.33,1
criterio de savage,https://systems-analysis.ru/int/Criterio_de_arrepentimiento_minimax_(criterio_de_Savage),2026-03-09,1,3,33.33,5
criterio de savage,https://systems-analysis.ru/int/Criterio_de_arrepentimiento_minimax_(criterio_de_Savage),2026-03-12,1,2,50.0,1
criterio maximax,https://systems-analysis.ru/int/Criterio_maximax_(PT),2026-03-13,1,1,100,2
cuales son los elementos de un sistema,https://systems-analysis.ru/int/Elemento_del_sistema,2026-03-11,1,6,16.67,4.5
decoder llm architecture,https://systems-analysis.ru/wiki/Decoder-only,2026-03-08,1,1,100,2
decoder-only transformer,https://systems-analysis.ru/int/Decoder-only_models_(architecture)_%E2%80%94_%E3%83%87%E3%82%B3%E3%83%BC%E3%83%80%E3%82%AA%E3%83%B3%E3%83%AA%E3%83%BC,2026-03-13,1,2,50.0,10
dpo,https://systems-analysis.ru/wiki/Direct_Preference_Optimization,2026-03-08,1,8,12.5,12
dpo llm,https://systems-analysis.ru/wiki/Direct_Preference_Optimization,2026-03-11,1,4,25.0,1.8
dpoとは llm,https://systems-analysis.ru/int/Direct_Preference_Optimization_(DPO)_%E2%80%94_%E7%9B%B4%E6%8E%A5%E9%81%B8%E5%A5%BD%E6%9C%80%E9%81%A9%E5%8C%96,2026-03-10,1,2,50.0,2
elementos de los sistemas,https://systems-analysis.ru/int/Elemento_del_sistema,2026-03-07,1,2,50.0,3
elementos de los sistemas,https://systems-analysis.ru/int/Elemento_del_sistema,2026-03-08,1,4,25.0,5.5
elementos de los sistemas,https://systems-analysis.ru/int/Elemento_del_sistema,2026-03-09,1,6,16.67,4.8
elementos de los sistemas,https://systems-analysis.ru/int/Elemento_del_sistema,2026-03-10,1,8,12.5,1.4
