query,page,date,clicks,impressions,ctr,position
glm,https://systems-analysis.ru/wiki/GLM_(Zhipu_AI),2026-04-02,5,160,3.12,4.3
llm as a judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-04-01,5,12,41.67,1.2
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-31,4,9,44.44,2.3
llm-as-judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-04-03,4,4,100,1
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-03-28,4,15,26.67,2.3
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-30,3,7,42.86,3
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-04-02,3,5,60.0,2.4
llm as a judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-04-02,3,11,27.27,2.5
llm-as-a-judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-03-27,3,5,60.0,1.4
llm-as-a-judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-04-02,3,6,50.0,1.3
lmarena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-04-01,3,1299,0.23,6.4
rlhf,https://systems-analysis.ru/wiki/RLHF,2026-03-27,3,16,18.75,1
al arena,https://systems-analysis.ru/wiki/LMArena,2026-03-31,2,8,25.0,5.4
elementos de un sistema,https://systems-analysis.ru/int/Elemento_del_sistema,2026-03-28,2,10,20.0,3.2
encoder decoder,https://systems-analysis.ru/wiki/Encoder-Decoder,2026-04-01,2,5,40.0,2.4
encoder decoder,https://systems-analysis.ru/wiki/Encoder-Decoder,2026-04-02,2,5,40.0,3.2
equilibrium of a system,https://systems-analysis.ru/eng/System_equilibrium,2026-04-03,2,2,100,8
estructura de un sistema,https://systems-analysis.ru/int/Estructura_del_sistema,2026-03-30,2,9,22.22,1.3
explainable ai,https://systems-analysis.ru/wiki/Explainable_AI,2026-03-30,2,5,40.0,2
falcon llm,https://systems-analysis.ru/wiki/Falcon,2026-03-28,2,4,50.0,2
glm,https://systems-analysis.ru/wiki/GLM_(Zhipu_AI),2026-04-03,2,127,1.57,4.5
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-27,2,5,40.0,1.6
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-03-28,2,5,40.0,2
llm arena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-04-02,2,101,1.98,6.4
llm as a judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-03-27,2,5,40.0,1.4
llm as a judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-04-03,2,7,28.57,1.7
llm-as-a-judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-04-01,2,4,50.0,1.2
lmarena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(FR),2026-03-29,2,524,0.38,7.1
metodología de la investigación de operaciones,https://systems-analysis.ru/int/Metodolog%C3%ADa_de_la_investigaci%C3%B3n_de_operaciones,2026-03-31,2,3,66.67,1
mmlu,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-03-29,2,7,28.57,1.9
mmlu,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-04-02,2,9,22.22,10.1
mmlu,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-04-03,2,8,25.0,2.9
mmlu benchmark,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-03-29,2,4,50.0,1.5
multi-agent debate,https://systems-analysis.ru/int/Multi-Agent_Debate_%E2%80%94_%E3%83%9E%E3%83%AB%E3%83%81%E3%82%A8%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88%E3%83%87%E3%82%A3%E3%83%99%E3%83%BC%E3%83%88,2026-03-29,2,2,100,1
multi-agent debate,https://systems-analysis.ru/int/Multi-Agent_Debate_%E2%80%94_%E3%83%9E%E3%83%AB%E3%83%81%E3%82%A8%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88%E3%83%87%E3%82%A3%E3%83%99%E3%83%BC%E3%83%88,2026-03-30,2,3,66.67,1
transformer encoder,https://systems-analysis.ru/int/Encoder_(Transformateur)_(FR),2026-03-31,2,4,50.0,5
winogrande,https://systems-analysis.ru/int/index.php?title=WinoGrande_Benchmark_%E2%80%94_WinoGrande%E5%9F%BA%E5%87%86%E6%B5%8B%E8%AF%95&variant=zh-hk,2026-03-29,2,7,28.57,4.1
вентцель исследование операций,https://systems-analysis.ru/assets/operation-research_venttsel.pdf,2026-04-03,2,2,100,1
исследование операций учебник,https://systems-analysis.ru/assets/operation-research_venttsel.pdf,2026-03-31,2,3,66.67,1
исследование операций учебник,https://systems-analysis.ru/assets/operation-research_venttsel.pdf,2026-04-01,2,2,100,1
метод анализа иерархий,https://systems-analysis.ru/wiki/%D0%9C%D0%B5%D1%82%D0%BE%D0%B4_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0_%D0%B8%D0%B5%D1%80%D0%B0%D1%80%D1%85%D0%B8%D0%B9,2026-04-01,2,11,18.18,3.7
модель черного ящика,https://systems-analysis.ru/wiki/%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%8F%D1%89%D0%B8%D0%BA,2026-04-01,2,8,25.0,1
системный анализ,https://systems-analysis.ru/wiki/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B9_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7,2026-04-03,2,5,40.0,1.8
что такое системный анализ,https://systems-analysis.ru/systems_analysis.html,2026-04-01,2,8,25.0,2.8
