query,page,date,clicks,impressions,ctr,position
lmarena,https://systems-analysis.ru/wiki/LMArena,2026-08-21,4,476,0.84,5.0
modelos de investigación de operaciones,https://systems-analysis.ru/int/Modelos_de_investigaci%C3%B3n_de_operaciones,2026-08-18,4,6,66.67,1.8
subsistema,https://systems-analysis.ru/int/Subsistema_(ES),2026-08-19,4,41,9.76,5.4
enfoque de sistemas,https://systems-analysis.ru/int/Enfoque_de_sistemas,2026-08-21,3,28,10.71,5.7
investigación de operaciones historia,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-08-21,3,3,100,3.3
llm as a judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-08-20,3,9,33.33,2.6
modelos de investigación de operaciones,https://systems-analysis.ru/int/Modelos_de_investigaci%C3%B3n_de_operaciones,2026-08-21,3,4,75.0,2.2
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-08-18,3,14,21.43,2.4
эмерджентность,https://systems-analysis.ru/wiki/%D0%AD%D0%BC%D0%B5%D1%80%D0%B4%D0%B6%D0%B5%D0%BD%D1%82%D0%BD%D0%BE%D1%81%D1%82%D1%8C,2026-08-21,3,132,2.27,5.1
equifinalidad,https://systems-analysis.ru/int/Equifinalidad,2026-08-16,2,20,10.0,1.8
equifinalidad,https://systems-analysis.ru/int/Equifinalidad,2026-08-21,2,48,4.17,2.1
evolución de la investigación de operaciones,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-08-20,2,3,66.67,2
graph of thoughts,https://systems-analysis.ru/wiki/Graph-of-Thoughts,2026-08-18,2,3,66.67,4
historia de investigación de operaciones,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-08-21,2,4,50.0,3.8
historia de la investigación de operaciones,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-08-20,2,9,22.22,7.7
humaneval,https://systems-analysis.ru/wiki/HumanEval_benchmark,2026-08-21,2,5,40.0,6.8
llm-as-a-judge,https://systems-analysis.ru/wiki/LLM%E2%80%91as%E2%80%91a%E2%80%91Judge,2026-08-17,2,3,66.67,2.7
lm arena,https://systems-analysis.ru/int/LMArena_(Chatbot_Arena)_(ES),2026-08-16,2,50,4.0,5.4
lmarena,https://systems-analysis.ru/wiki/LMArena,2026-08-19,2,468,0.43,6.0
metodología de la investigación de operaciones,https://systems-analysis.ru/int/Metodolog%C3%ADa_de_la_investigaci%C3%B3n_de_operaciones,2026-08-20,2,4,50.0,1
metodología de la investigación de operaciones,https://systems-analysis.ru/int/Metodolog%C3%ADa_de_la_investigaci%C3%B3n_de_operaciones,2026-08-21,2,4,50.0,1.2
mmlu,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-08-19,2,8,25.0,1.1
mmlu,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-08-20,2,10,20.0,3.8
mmlu,https://systems-analysis.ru/wiki/MMLU_benchmark,2026-08-21,2,11,18.18,8.9
origen de la investigación de operaciones,https://systems-analysis.ru/int/Historia_de_la_investigaci%C3%B3n_de_operaciones,2026-08-18,2,11,18.18,5.9
programacion lineal,https://systems-analysis.ru/int/Programaci%C3%B3n_lineal,2026-08-19,2,7,28.57,9.6
propiedades de los sistemas,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-08-19,2,12,16.67,3.3
propiedades de un sistema,https://systems-analysis.ru/int/Propiedades_de_los_sistemas,2026-08-16,2,5,40.0,1.6
yandexgpt,https://systems-analysis.ru/eng/YandexGPT_(language_model),2026-08-15,2,50,4.0,6.0
